filename,gt_person,gt_stroller,gt_luggage,gt_box,gt_is_full,gt_occupancy_ratio,pred_person,pred_stroller,pred_luggage,pred_box,pred_is_full,pred_occupancy_ratio,outcome
ChatGPT Image 8 May 2026 20_43_27.png,5,0,0,0,False,0.4464,3,0,2,0,False,0.4286,TN
ChatGPT Image 8 May 2026 20_45_05.png,5,0,0,0,False,0.4464,2,3,0,0,False,0.7812,TN
ChatGPT Image 8 May 2026 20_46_24.png,4,1,0,0,False,0.5580,3,1,1,0,False,0.5491,TN
ChatGPT Image 8 May 2026 20_48_32.png,3,0,3,0,False,0.5089,2,1,4,0,False,0.7009,TN
ChatGPT Image 8 May 2026 20_49_36.png,5,1,3,0,False,0.8884,3,2,3,2,True,1.0000,FP
ChatGPT Image 8 May 2026 21_31_09.png,5,0,2,0,False,0.6071,3,0,2,0,False,0.4286,TN
ChatGPT Image 8 May 2026 21_35_56.png,5,1,2,0,False,0.8080,3,1,3,0,False,0.7098,TN
Ekran görüntüsü 2026-05-08 133244.png,5,0,0,0,False,0.4464,4,0,0,0,False,0.3571,TN
Ekran görüntüsü 2026-05-08 212029.png,5,1,3,0,False,0.8884,4,1,4,0,False,0.8795,TN
Gemini_Generated_Image_1soeth1soeth1soe.png,3,0,0,0,False,0.2679,3,0,0,0,False,0.2679,TN
Gemini_Generated_Image_3b7eda3b7eda3b7e.png,6,2,3,0,True,1.0000,4,2,3,0,True,1.0000,TP
Gemini_Generated_Image_67eq2367eq2367eq.png,6,1,2,0,False,0.8973,5,2,3,1,True,1.0000,FP
Gemini_Generated_Image_fxr0xafxr0xafxr0.png,8,0,0,0,False,0.7143,4,0,0,0,False,0.3571,TN
Gemini_Generated_Image_grpn7igrpn7igrpn.png,5,1,2,0,False,0.8080,3,2,2,0,False,0.8304,TN
Gemini_Generated_Image_ikfgexikfgexikfg.png,6,0,0,0,False,0.5357,5,0,0,0,False,0.4464,TN
Gemini_Generated_Image_iy3coniy3coniy3c.png,7,1,2,0,True,0.9866,6,1,2,0,False,0.8973,FN
Gemini_Generated_Image_iy3coniy3coniy3c2.png,7,1,2,0,True,0.9866,7,1,1,0,True,0.9062,TP
Gemini_Generated_Image_kvfbmwkvfbmwkvfb.png,6,1,4,0,True,1.0000,3,3,3,0,True,1.0000,TP
Gemini_Generated_Image_n8ni20n8ni20n8ni.png,5,1,3,0,False,0.8884,4,0,3,0,False,0.5982,TN
Gemini_Generated_Image_nrtk8anrtk8anrtk.png,6,0,0,0,False,0.5357,6,0,0,0,False,0.5357,TN
Gemini_Generated_Image_nrtk8anrtk8anrtk2.png,6,0,0,0,False,0.5357,6,0,0,0,False,0.5357,TN
Gemini_Generated_Image_on0ngwon0ngwon0n.png,5,0,0,0,False,0.4464,4,1,0,0,False,0.5580,TN
Gemini_Generated_Image_sdgsd.png,6,3,2,0,True,1.0000,4,2,0,0,False,0.7589,FN
Gemini_Generated_Image_tu8fl9tu8fl9tu8f.png,5,2,4,0,True,1.0000,3,3,4,0,True,1.0000,TP
Gemini_Generated_Image_tv0o3rtv0o3rtv0o.png,8,1,1,0,True,0.9955,7,1,2,0,True,0.9866,TP
Gemini_Generated_Image_tv0o3rtv0o3rtv0o2.png,8,1,1,0,True,0.9955,7,1,1,0,True,0.9062,TP
Gemini_Generated_Image_uxq2rsuxq2rsuxq2.png,6,1,2,0,False,0.8973,3,4,2,0,True,1.0000,FP
Gemini_Generated_Image_wysrydwysrydwysr.png,6,1,1,0,False,0.8170,6,1,1,0,False,0.8170,TN
Gemini_Generated_Image_wysrydwysrydwysr2.png,5,1,1,0,False,0.7277,5,1,1,0,False,0.7277,TN
